date,symbol,open,high,low,close,volume,amount
2025-07-21,STK0001,8.9822,9.2703,8.8495,9.1354,4549144,41558100.56
2025-07-22,STK0001,9.164,9.3514,8.5777,8.7568,3335639,29209445.93
2025-07-23,STK0001,8.7428,9.0042,8.5394,8.7994,3034954,26705890.29
2025-07-24,STK0001,8.7932,8.9772,8.5445,8.7271,4972316,43393832.68
2025-07-25,STK0001,8.7706,8.7956,8.4194,8.4435,5081114,42902184.47
2025-07-28,STK0001,8.3431,8.4313,8.1654,8.2526,6982405,57623028.68
2025-07-29,STK0001,8.1887,8.244,8.1631,8.2184,6572692,54016767.21
2025-07-30,STK0001,8.1456,8.385,8.1088,8.3474,4313294,36004633.53
2025-07-31,STK0001,8.2313,8.3756,8.0152,8.1582,2906318,23710370.33
2025-08-01,STK0001,8.1251,8.2776,7.9755,8.128,4063382,33027326.11
2025-08-04,STK0001,8.1647,8.3263,7.9498,8.1104,4930382,39987291.67
2025-08-05,STK0001,8.0965,8.2881,7.9192,8.1105,4179260,33895716.41
2025-08-06,STK0001,8.1201,8.4275,7.9658,8.2703,3744301,30966629.39
2025-08-07,STK0001,8.3246,8.5905,8.1546,8.4186,4970381,41843779.42
2025-08-08,STK0001,8.486,8.6851,8.4594,8.6581,3720191,32209719.43
2025-08-11,STK0001,8.6545,8.7185,8.5335,8.597,3506651,30146758.28
2025-08-12,STK0001,8.6671,8.8084,8.3797,8.5186,4797896,40871146.85
2025-08-13,STK0001,8.5233,8.7085,8.2592,8.4427,3740630,31580964.34
2025-08-14,STK0001,8.4004,8.5532,8.3827,8.5352,4670566,39864269.51
2025-08-15,STK0001,8.5048,8.6874,8.3871,8.5688,4694599,40227046.25
2025-08-18,STK0001,8.493,8.6423,8.2547,8.4024,2890087,24283614.98
2025-08-19,STK0001,8.3577,8.4118,8.3353,8.3893,3657393,30683042.78
2025-08-20,STK0001,8.3713,8.5927,8.2773,8.4973,7193283,61123394.71
2025-08-21,STK0001,8.5384,9.093,8.3454,8.8921,2913471,25906738.64
2025-08-22,STK0001,8.9843,9.343,8.8276,9.1828,2105359,19333069.26
2025-08-25,STK0001,9.107,9.1749,8.9651,9.0326,2230108,20143617.7
2025-08-26,STK0001,9.0539,9.2496,8.8303,9.0254,4299152,38801530.26
2025-08-27,STK0001,8.9692,9.059,8.7319,8.8201,4163463,36722307.17
2025-08-28,STK0001,8.8453,9.0366,8.5692,8.7586,3954694,34637597.82
2025-08-29,STK0001,8.7517,8.92,8.674,8.8415,6302611,55724847.7
2025-09-01,STK0001,8.745,9.3095,8.6087,9.1667,1642449,15055808.24
2025-09-02,STK0001,9.2179,9.3205,8.9333,9.0338,4894303,44214388.61
2025-09-03,STK0001,9.0011,9.076,8.8349,8.9091,7381967,65766512.05
2025-09-04,STK0001,8.8806,9.0794,8.3458,8.537,2858531,24403213.23
2025-09-05,STK0001,8.4824,8.6078,8.4288,8.5538,3741088,32000587.18
2025-09-08,STK0001,8.5203,8.554,8.4266,8.46,3257232,27556218.5
2025-09-09,STK0001,8.4818,8.5654,8.3,8.3827,3099832,25984958.02
2025-09-10,STK0001,8.3732,8.5281,8.065,8.217,3838069,31537549.23
2025-09-11,STK0001,8.2333,8.4026,8.0017,8.1697,7031601,57446148.94
2025-09-12,STK0001,8.1875,8.3919,7.7572,7.9559,8215027,65357618.77
2025-09-15,STK0001,8.0192,8.0899,7.724,7.7928,3878552,30224598.94
2025-09-16,STK0001,7.7767,8.2259,7.6882,8.1333,8377001,68132583.51
2025-09-17,STK0001,8.0615,8.103,7.8817,7.9225,4418406,35004708.72
2025-09-18,STK0001,7.9734,8.0947,7.6686,7.7871,8146575,63438162.02
2025-09-19,STK0001,7.7716,8.2644,7.5778,8.0633,4274555,34466894.76
2025-09-22,STK0001,8.1174,8.6711,7.9703,8.5167,4571174,38931478.98
2025-09-23,STK0001,8.5363,8.6703,8.2616,8.3933,4898494,41114614.94
2025-09-24,STK0001,8.3867,8.4792,8.2662,8.3583,13007753,108723297.45
2025-09-25,STK0001,8.3759,8.6494,8.1828,8.4545,5806835,49093923.16
2025-09-26,STK0001,8.5541,8.8519,8.4392,8.7346,3317491,28977094.85
2025-09-29,STK0001,8.8442,8.8892,8.5616,8.6054,6004224,51669014.68
2025-09-30,STK0001,8.609,8.7,8.5195,8.6104,3698940,31849464.26
2025-10-01,STK0001,8.6187,8.6927,8.5882,8.662,3526176,30543680.9
2025-10-02,STK0001,8.7181,8.7799,8.6602,8.7219,5761984,50255430.01
2025-10-03,STK0001,8.6778,8.6986,8.626,8.6468,4396585,38016561.02
2025-10-06,STK0001,8.6641,8.7718,8.494,8.6009,4696371,40392844.11
2025-10-07,STK0001,8.5995,8.7422,8.246,8.3851,4376562,36698012.13
2025-10-08,STK0001,8.4009,8.5198,8.3178,8.4363,4910720,41428526.8
2025-10-09,STK0001,8.3943,8.4922,8.2621,8.3597,5096337,42603621.07
